species,common,taxa,phylum,class,order,sp_ncbi,sp_given.ncbi
Myiarchus crinitus,,Bird,Chordata,Aves,Passeriformes,Myiarchus crinitus,eq
Notropis atherinoides,,Fish,Chordata,Actinopteri,Cypriniformes,Notropis atherinoides,eq
Nucella lapillus,,Mollusc,Mollusca,Gastropoda,Neogastropoda,Nucella lapillus,eq
Nyctereutes procyonoides,,Mammal,Chordata,Mammalia,Carnivora,Nyctereutes procyonoides,eq
Oenanthe oenanthe,,Bird,Chordata,Aves,Passeriformes,Oenanthe oenanthe,eq
Oenothera biennis,,Plant,Streptophyta,Magnoliopsida,Myrtales,Oenothera biennis,eq
Oligoryzomys longicaudatus philippii,,Mammal,Chordata,Mammalia,Rodentia,Oligoryzomys longicaudatus philippii,eq
Oncorhynchus gorbuscha,,Fish,Chordata,Actinopteri,Salmoniformes,Oncorhynchus gorbuscha,eq
Oncorhynchus keta,,Fish,Chordata,Actinopteri,Salmoniformes,Oncorhynchus keta,eq
Oncorhynchus kisutch,,Fish,Chordata,Actinopteri,Salmoniformes,Oncorhynchus kisutch,eq
Oncorhynchus mykiss,,Fish,Chordata,Actinopteri,Salmoniformes,Oncorhynchus mykiss,eq
Oncorhynchus nerka,,Fish,Chordata,Actinopteri,Salmoniformes,Oncorhynchus nerka,eq
Oncorhynchus tshawytscha,,Fish,Chordata,Actinopteri,Salmoniformes,Oncorhynchus tshawytscha,eq
Onthophagus taurus,,Arthropod,Arthropoda,Insecta,Coleoptera,Onthophagus taurus,eq
Oreothlypis celata,,Bird,Chordata,Aves,Passeriformes,Leiothlypis celata,not_eq
Oreothlypis ruficapilla,,Bird,Chordata,Aves,Passeriformes,Leiothlypis ruficapilla,not_eq
Oryctolagus cuniculus,,Mammal,Chordata,Mammalia,Lagomorpha,Oryctolagus cuniculus,eq
Ovis aries,,Mammal,Chordata,Mammalia,Artiodactyla,Ovis aries,eq
Ovis canadensis,,Mammal,Chordata,Mammalia,Artiodactyla,Ovis canadensis,eq
Panax quinquefolius,,Plant,Streptophyta,Magnoliopsida,Apiales,Panax quinquefolius,eq
Pararge aegeria aegeria,,Arthropod,Arthropoda,Insecta,Lepidoptera,Pararge aegeria aegeria,eq
Pararge aegeria tircis,,Arthropod,Arthropoda,Insecta,Lepidoptera,Pararge aegeria tircis,eq
Parkesia motacilla,,Bird,Chordata,Aves,Passeriformes,Parkesia motacilla,eq
Parkesia noveboracensis,,Bird,Chordata,Aves,Passeriformes,Parkesia noveboracensis,eq
Parus ater,,Bird,Chordata,Aves,Passeriformes,Periparus ater,not_eq
Parus caeruleus,blue tit,Bird,Chordata,Aves,Passeriformes,Cyanistes caeruleus,not_eq
Parus major,great tit,Bird,Chordata,Aves,Passeriformes,Parus major,eq
Passer domesticus,,Bird,Chordata,Aves,Passeriformes,Passer domesticus,eq
Passerella iliaca,,Bird,Chordata,Aves,Passeriformes,Passerella iliaca,eq
Passerina cyanea,,Bird,Chordata,Aves,Passeriformes,Passerina cyanea,eq
Passer montanus,,Bird,Chordata,Aves,Passeriformes,Passer montanus,eq
Pastinaca sativa,,Plant,Streptophyta,Magnoliopsida,Apiales,Pastinaca sativa,eq
Peromyscus leucopus,,Mammal,Chordata,Mammalia,Rodentia,Peromyscus leucopus,eq
Peromyscus leucopus noveboracensis,,Mammal,Chordata,Mammalia,Rodentia,Peromyscus leucopus noveboracensis,not_eq
Peromyscus maniculatus anacapae,,Mammal,Chordata,Mammalia,Rodentia,Peromyscus maniculatus anacapae,eq
Peromyscus maniculatus blandus,,Mammal,Chordata,Mammalia,Rodentia,Peromyscus maniculatus blandus,eq
Peromyscus maniculatus elusus,,Mammal,Chordata,Mammalia,Rodentia,Peromyscus maniculatus elusus,eq
Peromyscus maniculatus nubiterrae,,Mammal,Chordata,Mammalia,Rodentia,Peromyscus maniculatus nubiterrae,eq
Peromyscus maniculatus santacruzae,,Mammal,Chordata,Mammalia,Rodentia,Peromyscus maniculatus santacruzae,eq
Phalaris arundinacea,,Plant,Streptophyta,Magnoliopsida,Poales,Phalaris arundinacea,eq
Pheucticus ludovicianus,,Bird,Chordata,Aves,Passeriformes,Pheucticus ludovicianus,eq
Phleum pratense,,Plant,Streptophyta,Magnoliopsida,Poales,Phleum pratense,eq
Phoenicurus ochruros,,Bird,Chordata,Aves,Passeriformes,Phoenicurus ochruros,eq
Phoenicurus phoenicurus,,Bird,Chordata,Aves,Passeriformes,Phoenicurus phoenicurus,eq
Phylloscopus collybita,,Bird,Chordata,Aves,Passeriformes,Phylloscopus collybita,eq
Phylloscopus sibilatrix,,Bird,Chordata,Aves,Passeriformes,Phylloscopus sibilatrix,eq
Phylloscopus trochilus,,Bird,Chordata,Aves,Passeriformes,Phylloscopus trochilus,eq
Phyllotis xanthopygus chilensis,,Mammal,Chordata,Mammalia,Rodentia,Phyllotis xanthopygus chilensis,eq
Physa virgata,,Mollusc,Mollusca,Gastropoda,Hygrophila,Physella virgata,not_eq
Picoides pubescens,,Bird,Chordata,Aves,Piciformes,Dryobates pubescens,not_eq
Picoides villosus,,Bird,Chordata,Aves,Piciformes,Picoides villosus,eq
Pieris rapae,,Arthropod,Arthropoda,Insecta,Lepidoptera,Pieris rapae,eq
Pipilo erythrophthalmus,,Bird,Chordata,Aves,Passeriformes,Pipilo erythrophthalmus,eq
Piptochaetium napostaense,,Plant,Streptophyta,Magnoliopsida,Poales,Piptochaetium napostaense,eq
Piranga olivacea,,Bird,Chordata,Aves,Passeriformes,Piranga olivacea,eq
Pitangus sulphuratus,great kiskadees,Bird,Chordata,Aves,Passeriformes,Pitangus sulphuratus,eq
Plantago lanceolata,,Plant,Streptophyta,Magnoliopsida,Lamiales,Plantago lanceolata,eq
